"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0035896","25090",24,0,1,"09",96000
"0035926","25100",19,0,1,"05",5000
"0035929","25030",9,0,0,"02",0
"0036059","25040",19,0,4,"07",16500
"0036178","25030",16,0,2,"08",16000
"0036249","25060",16,0,2,"04",45000
"0036275","25050",24,0,5,"02",91200
"0036360","25120",27,0,1,"02",24640
"0036373","25130",24,0,4,"02",62400
"0036409","25010",6,0,0,"02",0
"0036414","25010",27,0,2,"04",30500
"0036417","25070",22,0,2,"05",45700
"0036621","25070",16,0,5,"02",29300
"0036773","25130",24,0,5,"02",92000
"0036825","25130",13,0,3,"02",55700
"0037091","25030",16,0,4,"02",49000
"0037108","25080",28,0,3,"05",0
"0037109","25010",19,0,1,"04",3400
"0037130","25070",27,0,3,"03",730
"0037392","25030",21,0,1,"05",37800
"0037423","25040",16,0,1,"02",33000
"0037427","25090",13,0,5,"05",51000
"0037459","25010",6,0,2,"02",78000
"0037476","25120",19,0,9,"02",483210
"0037692","25110",19,0,2,"02",70000
"0037750","25010",16,0,2,"02",38000
"0037761","25010",16,0,3,"02",98100
"0037828","25060",21,0,2,"02",103000
"0037971","25120",22,0,1,"02",10200
"0038053","25070",18,0,1,"02",67000
"0038188","25080",12,0,0,"04",0
"0038220","25010",18,0,4,"04",87110
"0038277","25060",27,0,2,"04",42000
"0038329","25090",11,0,2,"03",126000
"0038356","25040",26,0,4,"04",30500
"0038390","25050",16,0,3,"02",195270
"0038470","25010",19,0,1,"02",30000
"0038471","25020",19,0,1,"02",9700
"0038494","25010",16,0,1,"01",17800
"0038543","25070",16,0,3,"02",31500
"0038601","25040",24,0,1,"02",33000
"0038632","25120",35,0,3,"06",20000
"0038688","25090",22,0,1,"04",19650
"0038755","25060",16,0,1,"05",12500
"0038822","25070",24,0,1,"05",13220
"0038837","25010",24,0,1,"05",9700
"0038915","25050",19,0,1,"02",322000
"0038918","25030",19,0,2,"02",46200
"0039073","25010",22,0,0,"02",0
"0039089","25120",13,0,2,"02",330000
"0039152","25070",21,0,2,"04",15480
"0039293","25040",16,0,1,"06",24000
"0039319","25010",29,0,5,"02",85100
"0039386","25010",24,0,2,"02",124000
"0039709","25120",7,0,0,"02",0
"0039749","25060",5,0,1,"02",32000
"0039858","25010",6,0,1,"02",20000
"0040065","25110",24,0,4,"02",121050
"0040066","25050",21,0,2,"08",55000
"0040072","25010",14,0,2,"02",13480
"0040132","25090",32,0,1,"05",35000
"0040164","25020",19,0,2,"02",100620
"0040233","25060",18,0,6,"02",34000
"0040236","25060",0,1,1,"  ",0
"0040414","25130",19,0,2,"05",21400
"0040624","25020",17,0,3,"02",84350
"0040653","25080",24,0,1,"09",15000
"0040659","25010",32,0,5,"02",468230
"0040892","25040",17,0,5,"02",53520
"0040976","25120",29,0,3,"02",49400
"0041037","25060",24,0,3,"02",53000
"0041102","25120",24,0,2,"02",88200
"0041214","25060",29,0,5,"02",90000
"0041223","25130",11,0,6,"03",88600
"0041331","25090",17,0,2,"08",38500
"0041364","25070",25,0,2,"06",5800
"0041449","25030",0,1,1,"  ",0
"0041456","25120",22,0,1,"02",27600
"0041493","25020",22,0,1,"09",9100
"0041632","25120",16,0,0,"02",0
"0041649","25060",9,0,0,"02",0
"0041689","25110",21,0,1,"04",13400
"0041711","25040",0,1,1,"  ",0
"0041856","25110",14,0,4,"02",168500
"0041981","25040",27,0,4,"02",170000
"0042042","25010",53,0,0,"03",0
"0042080","25030",18,0,1,"06",7400
"0042099","25020",27,0,4,"02",106100
"0042110","25100",24,0,2,"03",81900
"0042144","25030",0,2,1,"  ",0
"0042171","25090",32,0,1,"07",26960
"0042203","25050",16,0,3,"05",25000
"0042264","25040",32,0,3,"02",70900
"0042383","25120",11,0,2,"02",48700
"0042414","25010",16,0,1,"05",16700
"0042480","25120",26,0,4,"02",52490
"0042692","25090",13,0,2,"05",28900
"0042759","25070",29,0,3,"02",103050
"0042839","25040",26,0,1,"02",41500
"0042983","25100",21,0,2,"07",53000
"0043051","25070",18,0,1,"02",15100
"0043339","25120",27,0,3,"02",29100
"0043440","25020",0,1,1,"  ",0
"0043478","25130",17,0,2,"02",181200
"0043709","25120",5,0,4,"02",39500
"0043746","25010",0,1,1,"  ",0
"0043760","25120",16,0,3,"02",48000
"0043869","25080",30,0,2,"06",85140
"0043994","25110",22,0,1,"05",20600
"0043998","25080",0,2,1,"  ",0
"0044085","25110",21,0,2,"02",46700
"0044086","25040",16,0,1,"02",31000
"0044104","25070",5,0,2,"01",22000
"0044209","25110",0,1,1,"  ",0
