SERIALNO,AGE,WRKLYR,INCTOT
2006000707500,35,1,64945.0893
2006000708113,27,1,6112.19136
2006000709246,30,1,31493.06598
2006000710192,86,2,4125.729168
2006000711161,75,2,10314.32292
2006000711161,53,2,0
2006000711161,71,2,916.828704
2006000711185,46,1,15280.4784
2006000711185,38,1,22920.7176
2006000712701,61,2,59593.86576
2006000713072,18,1,3995.845102
2006000714378,43,1,17572.55016
2006000714771,39,1,29101.67111
2006000714771,39,1,45841.4352
2006000714771,18,1,2292.07176
2006000714771,14,0,NA
2006000714771,4,0,-15279.71438
2006000715564,52,1,50425.57872
2006000721505,52,2,0
2006000721505,52,2,0
2006000723164,49,1,38201.196
2006000723164,55,1,19100.598
2006000723164,13,0,NA
2006000723164,9,0,-15279.71438
2006000723658,86,2,35374.3075
2006000723658,88,2,24983.58218
2006000728075,27,1,27504.86112
2006000728075,26,1,45841.4352
2006000733083,34,1,24448.76544
2006000733083,14,0,NA
2006000733083,13,0,NA
2006000736051,40,1,15280.4784
2006000736051,30,2,0
2006000739127,80,2,0
2006000740050,62,1,34915.89314
2006000740050,45,1,6112.19136
2006000742533,32,1,99323.1096
2006000742533,31,2,0
2006000742533,2,0,-15279.71438
2006000742533,1,0,NA
2006000742533,1,0,NA
2006000742909,54,1,42785.33952
2006000742909,68,2,10085.11574
2006000744245,30,1,30576.23728
2006000744245,29,1,3056.09568
2006000745659,40,1,26740.8372
2006000745659,29,1,28268.88504
2006000745659,18,2,0
2006000745659,11,0,NA
2006000745659,9,0,-15279.71438
2006000745659,6,0,-15279.71438
2006000746161,17,1,6723.410496
2006000746401,50,1,25999.734
2006000746401,11,0,NA
2006000747901,57,1,236847.4152
2006000747901,53,1,26740.8372
2006000748268,23,1,19788.21953
2006000748268,20,1,15280.4784
2006000748268,28,1,13752.43056
2006000748268,24,1,15280.4784
2006000748802,46,2,0
2006000749077,36,1,18336.57408
2006000749077,5,0,-15279.71438
2006000749077,4,0,-15279.71438
2006000749077,32,1,10849.13966
2006000749766,29,1,30560.9568
2006000749766,35,1,1528.04784
2006000752678,50,1,26740.8372
2006000752678,20,1,2292.07176
2006000759886,31,1,30560.9568
2006000764261,71,2,11842.37076
2006000765426,78,2,17496.14777
2006000766691,46,1,30576.23728
2006000766691,45,1,38201.196
2006000767208,58,1,39729.24384
2006000771773,54,1,27504.86112
2006000771773,15,0,916.828704
2006000771773,8,0,-15279.71438
2006000771773,52,2,0
2006000775787,53,1,36138.33142
2006000775888,45,1,38201.196
2006000775888,40,1,91682.8704
2006000775888,10,0,NA
2006000776250,83,2,11460.3588
2006000776430,36,1,6876.21528
